no,match_id,leagueid,key,value,data_year
96275,5436845462,12036,тоже,1,2020
22712,5236188031,11661,in,1,2020
31942,5268175794,10884,banned,1,2020
87283,5416406707,11828,be,1,2020
13342,5226958263,11419,adiar,1,2020
91812,5426921865,11889,maana,1,2020
84358,5412585022,12003,kamoy,1,2020
93377,5430505526,12003,gg,5,2020
99636,5446187178,12093,отжимайте,1,2020
81536,5406140396,12027,gl,4,2020
42728,5294389626,10884,live,1,2020
71273,5380605591,11829,к,1,2020
54304,5336029801,11823,g,1,2020
91355,5425680292,11668,gg,1,2020
1249,5189568739,11533,g,4,2020
58497,5349088131,10592,красава,1,2020
22096,5235251030,10884,ti,1,2020
32906,5269422384,11478,чем,1,2020
47040,5310232370,11604,wait,1,2020
91207,5425112142,11914,lag,2,2020
44077,5302590909,11591,g,3,2020
31048,5264112884,11623,го,1,2020
24191,5239290142,11629,buliren,1,2020
11968,5223847473,10884,my,1,2020
10443,5223179555,10884,think,1,2020
41072,5292043979,10884,demoted,1,2020
75565,5391830543,11828,pause,1,2020
30537,5261386529,11694,за,2,2020
85719,5414907420,11439,mikone,1,2020
60710,5359679205,11439,ok,1,2020
22545,5235974206,11661,gl,3,2020
12829,5226145186,11591,buhok,1,2020
32106,5268241673,10477,udah,1,2020
40830,5291060307,10884,shit,1,2020
67926,5375801616,11828,gg,4,2020
6602,5212557009,10884,gg,2,2020
592,5183955969,10884,is,2,2020
10415,5223178757,10884,not,1,2020
66996,5371743192,11828,be,2,2020
25913,5243009444,11661,ship,1,2020
85207,5414191944,12008,whos,1,2020
96808,5438828931,11914,hf,3,2020
41561,5293004696,10884,to,1,2020
30532,5261386529,11694,дела,1,2020
74902,5389846447,11829,паузу,1,2020
99060,5444330131,12027,my,1,2020
67290,5372906141,11864,tu,2,2020
36354,5278374093,11694,зща,1,2020
32751,5269338224,11478,дела,1,2020
15927,5231227597,11629,enternenetetet,1,2020
40839,5291060307,10884,time,3,2020
26413,5244214015,10937,gege,1,2020
28215,5250688439,11468,faze,1,2020
8354,5219383004,10857,that,1,2020
56603,5344078806,11735,gg,1,2020
75686,5392163181,11828,wp,1,2020
54614,5336238774,11829,дайте,1,2020
20321,5233804981,11661,ready,1,2020
78323,5402488204,11829,то,1,2020
99860,5446369426,12093,неполноценные,1,2020
15014,5230735420,11629,try,1,2020
78404,5403282634,11263,gg,1,2020
3328,5200625069,11620,poor,2,2020
12606,5224986452,11382,gg,1,2020
99982,5446531453,12093,пусть,1,2020
64874,5366097127,11478,с,1,2020
64961,5366217099,11780,меня,2,2020
81419,5406040938,12027,прошу,2,2020
8146,5217530197,11263,g,2,2020
91711,5426386100,11974,glgl,1,2020
23986,5238505693,11661,e,2,2020
55337,5336437377,11478,харош,1,2020
90328,5422241499,11973,halaman,1,2020
89887,5420802707,12012,oo,1,2020
7790,5213968689,11602,sry,1,2020
77869,5400138626,10158,was,1,2020
39729,5287349335,11683,вы,1,2020
54795,5336276640,11829,pogchamp,1,2020
69724,5378539134,11829,speak,2,2020
52403,5333445855,11717,gl,1,2020
61875,5361694963,11829,соболезную,1,2020
94012,5432400187,12003,me,1,2020
9568,5220626174,11427,malding,1,2020
96370,5437000086,11999,g,2,2020
23371,5237240085,11661,in,1,2020
50302,5320270585,11604,al,1,2020
884,5185201819,11583,пдпдпдпд,1,2020
22049,5235223185,10884,to,1,2020
18312,5231690681,11629,g,2,2020
99448,5445498030,11964,something,1,2020
52692,5333911429,11829,анимацию,1,2020
95115,5434906124,12027,боль,1,2020
77210,5397654155,11966,gg,1,2020
82086,5407411011,12027,p,1,2020
2562,5195940289,11600,we,2,2020
92786,5429016584,11973,csgo,2,2020
47720,5311981896,11604,de,3,2020
90575,5422803635,11974,sec,2,2020
63803,5364396498,11829,подряд,1,2020
51926,5329887858,11823,lag,1,2020
12809,5226069805,11591,mo,1,2020
9970,5221322927,11602,hf,2,2020
95947,5436759617,12027,coming,1,2020
55260,5336437377,11478,вжать,1,2020
34733,5272617818,11382,gg,1,2020
24079,5238804671,11661,sec,2,2020
36164,5277918926,11657,glhf,1,2020
40483,5290105232,11623,it,1,2020
43515,5298943809,11448,kale,1,2020
69265,5378434605,11829,во,1,2020
70103,5378910186,11864,u,1,2020
49650,5318896795,10592,вс,1,2020
45579,5307327257,11478,майте,1,2020
69293,5378434605,11829,не,1,2020
15020,5230736888,11629,gg,1,2020
77510,5399053487,11829,haha,1,2020
31024,5263888070,11719,g,2,2020
96099,5436845462,12036,vernete,1,2020
77868,5400138626,10158,wall,1,2020
49872,5319348689,11823,ren,1,2020
46993,5310081659,11604,g,6,2020
62571,5362232264,11864,quiero,1,2020
19752,5232545924,11629,anyone,1,2020
97117,5439576155,12003,nlng,3,2020
99776,5446328540,12093,дс,1,2020
89423,5420497741,12008,gl,2,2020
54677,5336242097,11829,у,2,2020
55986,5340491283,11823,d,1,2020
30814,5262308590,11719,glhf,1,2020
41744,5293872120,11478,haha,2,2020
73293,5384683549,11829,look,1,2020
79096,5404124513,12027,its,1,2020
60959,5359811677,11439,dad,1,2020
93214,5429803685,11796,если,1,2020
98051,5441745573,12003,is,1,2020
95184,5435186179,12027,gg,6,2020
741,5184768747,10857,wala,1,2020
54861,5336276640,11829,какое,1,2020
26162,5243262414,10884,so,1,2020
49742,5319037356,11823,g,3,2020
94848,5434415481,11828,dash,1,2020
48246,5314167270,11604,para,1,2020
78159,5401642372,11370,gg,1,2020
29585,5256519170,11688,gg,1,2020
94568,5433397833,12027,ffffffffg,1,2020
42896,5295221474,10884,brother,1,2020
66519,5369115882,11863,nomas,1,2020
63531,5364158317,11829,it,2,2020
57371,5346636552,11829,this,1,2020
46570,5308184052,11439,gl,1,2020
14636,5230726128,11629,wp,3,2020
20569,5234487702,11478,у,2,2020
42366,5294173526,10884,tu,1,2020
66718,5370231735,11836,wp,3,2020
699,5184387165,11249,g,5,2020
98190,5441922106,11370,hao,1,2020
60008,5356134411,11827,g,1,2020
33591,5270117416,10884,education,3,2020
54319,5336054664,11800,titleddepressed,1,2020
86374,5415700905,11912,novo,1,2020
54026,5335778064,11478,g,1,2020
9289,5220408259,10884,nvm,1,2020
77439,5398690471,11836,данэло,1,2020
41663,5293142596,10884,use,1,2020
15619,5231221283,11629,пп,1,2020
78011,5400982797,11889,q,1,2020
59908,5355683779,11735,gg,1,2020
24686,5240250502,11661,go,1,2020
61369,5360398407,11863,gg,3,2020
80601,5405373450,12027,na,14,2020
74573,5388846035,11921,pes,1,2020
96036,5436781482,11914,gg,5,2020
39048,5285919617,10884,grey,1,2020
5015,5206132977,11517,gg,5,2020
14619,5230726104,11629,plays,1,2020
89141,5419995792,12003,g,4,2020
90757,5423943373,11973,glhf,1,2020
17892,5231550941,10884,glhf,1,2020
47231,5310429197,10884,focus,1,2020
89526,5420528281,11828,telstra,1,2020
1810,5194130194,11478,ez,1,2020
23020,5236805237,11661,since,1,2020
64301,5365845524,11717,restarting,1,2020
82590,5407836192,11780,where,1,2020
220,5181424084,11468,bazi,1,2020
