no,time,type,key,slot,player_slot,match_id,leagueid,unit,data_year
96275,661.0,chat,idk how long we wait,8.0,131.0,5254636486,10884,zzz,2020
22712,-68.0,chat,G,2.0,2.0,5209758917,11517,999,2020
31942,1147.0,chat,g,3.0,3.0,5220626174,11427,TheLast,2020
87283,2001.0,chatwheel,74004,2.0,2.0,5245812924,11672,,2020
13342,1210.0,chat,hehe,8.0,131.0,5199131766,10857,SULTAN,2020
91812,1561.0,chatwheel,68,2.0,2.0,5250969167,11419,,2020
84358,3229.0,chat,GG,6.0,129.0,5242829979,11439,LegendOfCarry,2020
93377,2057.0,chatwheel,88004,3.0,3.0,5252177338,10946,,2020
99636,2287.0,chatwheel,7,2.0,2.0,5259662924,11719,,2020
81536,3165.0,chat,Y,0.0,0.0,5241342074,11439,WidowMaker,2020
42728,-88.0,chatwheel,46005,2.0,2.0,5226971725,11419,,2020
71273,562.0,chatwheel,7,4.0,4.0,5236434705,11661,,2020
54304,1228.0,chatwheel,76,4.0,4.0,5231508014,11629,,2020
91355,-18.0,chatwheel,5,7.0,130.0,5250713956,10946,,2020
1249,972.0,chatwheel,86001,3.0,3.0,5182075768,11583,,2020
58497,-76.0,chatwheel,88004,7.0,130.0,5232273720,11629,,2020
22096,245.0,chatwheel,61,6.0,129.0,5208260640,11602,,2020
32906,1366.0,chatwheel,63,0.0,0.0,5220850157,11427,,2020
47040,1118.0,chat,wp invo,9.0,132.0,5230734662,11629,Husky,2020
91207,2395.0,chat,gg,0.0,0.0,5250581741,10946,Puppey,2020
44077,1057.0,chatwheel,34003,7.0,130.0,5228463765,11419,,2020
31048,2221.0,chatwheel,83002,8.0,131.0,5220367363,10884,,2020
24191,478.0,chatwheel,71,9.0,132.0,5212366382,10884,,2020
11968,995.0,chatwheel,57004,2.0,2.0,5197901418,11620,,2020
10443,-76.0,chat,gl,9.0,132.0,5195692151,11592,пиджак,2020
41072,572.0,chatwheel,129007,5.0,128.0,5225507763,11419,,2020
75565,-78.0,chatwheel,99002,0.0,0.0,5238211385,11661,,2020
30537,694.0,chatwheel,7,6.0,129.0,5220285789,10884,,2020
85719,-662.0,chatwheel,7,7.0,130.0,5243905280,11468,,2020
60710,-78.0,chatwheel,19001,9.0,132.0,5233470713,11629,,2020
22545,2359.0,chatwheel,71,1.0,1.0,5209280601,11517,,2020
12829,623.0,chatwheel,2003,4.0,4.0,5198376510,11592,,2020
32106,1859.0,chatwheel,62,0.0,0.0,5220626174,11427,,2020
40830,428.0,chatwheel,1,6.0,129.0,5225336892,11170,,2020
67926,-86.0,chatwheel,59004,0.0,0.0,5235290645,11661,,2020
6602,3268.0,chat,gg,1.0,1.0,5191935627,11490,asd,2020
592,495.0,chatwheel,62,0.0,0.0,5181424084,11468,,2020
10415,-89.0,chatwheel,53,1.0,1.0,5195667666,11600,,2020
66996,-147.0,chatwheel,164,8.0,131.0,5235176897,11661,,2020
25913,743.0,chatwheel,5,1.0,1.0,5212768983,10884,,2020
85207,1488.0,chatwheel,90,9.0,132.0,5243160799,10884,,2020
96808,-52.0,chatwheel,7,9.0,132.0,5255502576,10946,,2020
41561,-88.0,chatwheel,98003,6.0,129.0,5225991274,11591,,2020
30532,382.0,chatwheel,7,9.0,132.0,5220285789,10884,,2020
74902,110.0,chatwheel,69,4.0,4.0,5237953538,11636,,2020
99060,-78.0,chatwheel,88004,2.0,2.0,5258575045,11533,,2020
67290,781.0,chat,gg,7.0,130.0,5235208381,11661,AlienManaBanana,2020
36354,-31.0,chat,1 min sorry,3.0,3.0,5223185151,10884,yarin,2020
32751,-66.0,chatwheel,62,3.0,3.0,5220850157,11427,,2020
15927,433.0,chatwheel,7,7.0,130.0,5202077493,11517,,2020
40839,821.0,chatwheel,61,8.0,131.0,5225336892,11170,,2020
26413,1394.0,chatwheel,54001,5.0,128.0,5213109737,10884,,2020
28215,1619.0,chatwheel,128001,7.0,130.0,5215636705,11620,,2020
8354,2046.0,chat,gl next,0.0,0.0,5194258579,11478,fyfy,2020
56603,1583.0,chatwheel,54,7.0,130.0,5231752710,10884,,2020
75686,2345.0,chatwheel,47001,9.0,132.0,5238211385,11661,,2020
54614,1515.0,chatwheel,54,1.0,1.0,5231560215,11629,,2020
20321,3615.0,chat,gg,9.0,132.0,5206828942,11517,抱米花(つ´ω`)つ,2020
78323,1937.0,chatwheel,76,1.0,1.0,5239852424,11661,,2020
99860,-438.0,chatwheel,65,4.0,4.0,5260332369,11533,,2020
15014,426.0,chat,rub afk,6.0,129.0,5201168215,10884,SexyeYogye™,2020
78404,-80.0,chatwheel,13005,3.0,3.0,5239928410,11661,,2020
3328,1792.0,chatwheel,7,7.0,130.0,5185949592,11533,,2020
12606,787.0,chatwheel,86002,7.0,130.0,5198292041,11600,,2020
99982,1884.0,chatwheel,7,9.0,132.0,5260442135,11668,,2020
64874,94.0,chatwheel,65005,0.0,0.0,5234937523,11661,,2020
64961,4377.0,chat,ПАХАХАХАХХАХ,8.0,131.0,5234938744,11478,МАЙНЕМ ИЗ АГАБЕГ,2020
81419,688.0,chatwheel,164,4.0,4.0,5241332351,11661,,2020
8146,1390.0,chatwheel,161,2.0,2.0,5194137757,11478,,2020
91711,1635.0,chatwheel,19006,9.0,132.0,5250896011,10946,,2020
23986,1790.0,chatwheel,162,2.0,2.0,5212283963,11478,,2020
