no,match_id,leagueid,key,value,data_year
96275,5253018446,11620,11461,130,2020
22712,5203192778,11517,13458,131,2020
31942,5213311976,11263,6943,1,2020
87283,5244771209,11419,9784,128,2020
13342,5194225112,11592,9163,132,2020
91812,5250338296,10946,6524,4,2020
84358,5242723914,11661,5858,131,2020
93377,5251303824,11419,5509,0,2020
99636,5255670534,10946,10298,129,2020
81536,5241523955,11661,6252,2,2020
42728,5225689535,11591,11740,128,2020
71273,5236598112,11661,17257,129,2020
54304,5231550941,10884,8060,130,2020
91355,5249930526,11657,17521,128,2020
1249,5181202368,11370,12945,2,2020
58497,5232405234,11629,13087,131,2020
22096,5203064181,11478,11997,130,2020
32906,5214224805,11620,10298,0,2020
47040,5230728896,11629,11384,128,2020
91207,5249788637,11249,4163,2,2020
44077,5227052923,11604,7692,131,2020
31048,5212575618,10884,7412,130,2020
24191,5203595655,11620,8878,3,2020
11968,5192866912,11155,10698,128,2020
10443,5191348449,11592,10068,0,2020
41072,5223964918,10884,6496,1,2020
75565,5238804671,11661,8840,2,2020
30537,5212366382,10884,10298,129,2020
85719,5243418138,11661,9637,129,2020
60710,5233581062,11629,8790,1,2020
22545,5203154643,11478,8601,130,2020
12829,5193631357,11249,10025,128,2020
32106,5213662397,11602,7817,132,2020
40830,5223801262,10884,10415,3,2020
67926,5235435390,11661,9713,4,2020
6602,5187159391,11533,13566,1,2020
592,5178725209,11370,10374,4,2020
10415,5191296162,10857,11998,132,2020
66996,5235290645,11661,10298,2,2020
25913,5206073243,11517,13448,130,2020
85207,5243160799,10884,7580,2,2020
96808,5253321325,11620,9521,3,2020
41561,5224337867,11591,7941,4,2020
30532,5212366382,10884,9462,3,2020
74902,5238258734,11661,12737,1,2020
99060,5255071193,11688,10406,2,2020
67290,5235342895,11661,10524,4,2020
36354,5220606885,11591,10167,2,2020
32751,5214011341,11620,13531,4,2020
15927,5196722814,10857,7907,0,2020
40839,5223801262,10884,12906,0,2020
26413,5206921485,11602,10427,1,2020
28215,5208260640,11602,8602,131,2020
8354,5189568739,11533,11993,4,2020
56603,5231780323,11629,7938,129,2020
75686,5238975147,11661,10350,2,2020
54614,5231648713,10884,10148,1,2020
20321,5201645277,11517,10041,132,2020
78323,5240327627,11661,12866,3,2020
99860,5256223039,11604,8162,132,2020
15014,5195520492,10857,11903,132,2020
78404,5240371243,11629,11266,3,2020
3328,5184097284,11533,6273,1,2020
12606,5193326799,11490,10415,0,2020
99982,5256519170,11688,12998,128,2020
64874,5235009390,11661,10758,0,2020
64961,5235039150,11661,7263,129,2020
81419,5241472308,11661,12941,4,2020
8146,5188795565,11155,9972,4,2020
91711,5250325772,10946,8957,132,2020
23986,5203551718,11517,6507,3,2020
55337,5231710175,11629,6422,131,2020
90328,5248739519,11657,10147,4,2020
89887,5248304670,11657,13474,128,2020
7790,5188448216,11533,4541,130,2020
77869,5240004828,11661,6620,128,2020
39729,5223363926,11602,9748,131,2020
54795,5231685451,11629,10172,2,2020
69724,5236109039,11661,10721,4,2020
52403,5231398880,11629,11266,3,2020
61875,5234368946,11661,12917,1,2020
