no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
96275,1.0,False,2.0,129.0,,130.0,43.0,5313245238,11249,2020
22712,5.0,False,2.0,100.0,,95.0,28.0,5220969322,11382,2020
31942,3.0,False,3.0,59.0,,130.0,19.0,5231348137,11629,2020
87283,3.0,False,3.0,69.0,,130.0,4.0,5300717694,11668,2020
13342,20.0,False,2.0,23.0,,6.0,35.0,5201956799,11517,2020
91812,13.0,False,2.0,98.0,,103.0,8.0,5307792344,11439,2020
84358,14.0,False,2.0,93.0,,115.0,42.0,5295191373,11591,2020
93377,17.0,True,2.0,32.0,4.0,115.0,17.0,5309425700,11694,2020
99636,19.0,False,2.0,18.0,,72.0,38.0,5318850700,11823,2020
81536,7.0,True,3.0,66.0,7.0,130.0,1.0,5291383024,11731,2020
42728,11.0,False,3.0,19.0,,93.0,30.0,5239092204,11629,2020
71273,21.0,True,2.0,45.0,2.0,85.0,21.0,5277404075,11620,2020
54304,4.0,False,3.0,98.0,,130.0,37.0,5254613326,11620,2020
91355,18.0,True,2.0,76.0,0.0,89.0,35.0,5307329606,11478,2020
1249,21.0,True,3.0,12.0,5.0,18.0,12.0,5181426092,11370,2020
58497,20.0,False,2.0,7.0,,94.0,34.0,5260449940,11249,2020
22096,1.0,False,2.0,56.0,,130.0,6.0,5220397444,10884,2020
32906,22.0,True,2.0,112.0,4.0,3.0,18.0,5231484597,11629,2020
47040,1.0,False,2.0,87.0,,130.0,14.0,5243286197,11661,2020
91207,2.0,False,3.0,87.0,,130.0,18.0,5307312617,11478,2020
44077,18.0,True,2.0,15.0,1.0,75.0,79.0,5240489229,11661,2020
31048,11.0,False,2.0,59.0,,105.0,2.0,5231230613,11629,2020
24191,10.0,True,2.0,104.0,3.0,64.0,101.0,5223179555,10884,2020
11968,10.0,True,2.0,11.0,1.0,58.0,62.0,5199303117,11592,2020
10443,3.0,False,2.0,112.0,,130.0,32.0,5196911516,11592,2020
41072,15.0,True,2.0,13.0,2.0,130.0,58.0,5236686331,11661,2020
75565,17.0,True,2.0,4.0,1.0,93.0,69.0,5284366865,11263,2020
30537,6.0,False,3.0,83.0,,130.0,22.0,5231218395,11629,2020
85719,12.0,False,2.0,59.0,,130.0,16.0,5297404365,11613,2020
60710,11.0,False,3.0,65.0,,119.0,10.0,5263691179,11263,2020
22545,10.0,True,3.0,97.0,6.0,127.0,5.0,5220829001,11263,2020
12829,13.0,False,2.0,5.0,,102.0,22.0,5201064988,11382,2020
32106,13.0,False,3.0,80.0,,130.0,16.0,5231390825,11629,2020
40830,15.0,True,2.0,28.0,3.0,130.0,47.0,5236584725,11636,2020
67926,14.0,False,2.0,68.0,,130.0,11.0,5273729523,11533,2020
6602,9.0,True,2.0,22.0,3.0,106.0,1.0,5190969494,11155,2020
592,1.0,False,2.0,27.0,,130.0,20.0,5179767994,11249,2020
10415,19.0,False,3.0,22.0,,87.0,62.0,5196844269,11592,2020
66996,8.0,True,2.0,87.0,4.0,126.0,2.0,5272271530,11533,2020
25913,16.0,True,2.0,56.0,4.0,130.0,45.0,5224661606,11382,2020
85207,6.0,False,2.0,66.0,,130.0,69.0,5296939984,11448,2020
96808,6.0,False,3.0,68.0,,130.0,9.0,5314336951,11806,2020
41561,20.0,False,3.0,10.0,,4.0,36.0,5236957404,11661,2020
30532,1.0,False,2.0,128.0,,130.0,14.0,5231218395,11629,2020
74902,14.0,False,2.0,76.0,,97.0,68.0,5282891881,11263,2020
99060,14.0,False,2.0,12.0,,100.0,8.0,5317988218,10884,2020
67290,16.0,True,2.0,87.0,0.0,103.0,66.0,5272662675,11719,2020
36354,3.0,False,3.0,126.0,,130.0,5.0,5233805874,11661,2020
32751,21.0,True,2.0,47.0,2.0,75.0,9.0,5231458188,11629,2020
15927,9.0,True,2.0,20.0,1.0,127.0,1.0,5206719625,11263,2020
40839,2.0,False,3.0,58.0,,130.0,27.0,5236588068,11661,2020
