no,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,negative_votes,positive_votes,radiant_score,radiant_win,start_date_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,comeback,stomp,replay_url,dire_team_id,radiant_team_id,data_year,pre_game_duration,flags,radiant_logo,radiant_team_complete,dire_logo,dire_team_complete,radiant_captain,dire_captain,average_rank
2595,7555385965,'00010000','00110011',184,46,2957,1,98,2,10,15901,1,6361829286,,,42,True,2024-01-26 14:52:57,'0000000000000000','0000011110000000',21.0,1733546486.0,,,54,8.0,16748.0,2912.0,,,http://replay184.valve.net/570/7555385965_1733546486.dem.bz2,9225431.0,8831040.0,2024,90.0,0.0,1.81215997201601e+18,0.0,2.1308244444982592e+18,0.0,1251984026.0,131774502.0,
394,5775262536,'00110100','00111111',203,14,1381,1,61,2,10,12726,1,4862324274,0.0,0.0,33,True,2021-01-06 21:50:13,'0000011100000000','0000011110111111',21.0,395720611.0,517221.0,0.0,47,10.0,0.0,18601.0,,,http://replay203.valve.net/570/5775262536_395720611.dem.bz2,,,2021,,,,,,,,,
9624,6136270421,'00111111','00111111',151,44,1082,1,0,2,10,13342,1,5135313881,0.0,0.0,23,False,2021-08-15 09:46:16,'0000011111111110','0000011110100110',21.0,1482776847.0,586602.0,1.0,48,5.0,,,308.0,13896.0,http://replay151.valve.net/570/6136270421_1482776847.dem.bz2,,,2021,,,,,,,,,
23413,7367777165,'00001111','00111111',272,24,1975,1,171,2,10,15677,1,6202247323,,,35,True,2023-10-06 06:01:41,'0000011000100110','0000011110110111',,2146420987.0,813226.0,1.0,53,3.0,152.0,8707.0,,,http://replay272.valve.net/570/7367777165_2146420987.dem.bz2,,,2023,,,,,,,,,
13342,5523481267,'00111111','00111111',236,36,1596,1,0,2,10,11249,1,4632433563,0.0,0.0,39,False,19/7/20 08:28,'0000011110100100','0000011110110000',21.0,695331359.0,464294.0,1.0,46,13.0,,,10390.0,554.0,http://replay236.wmsj.cn/570/5523481267_695331359.dem.bz2,,,2020,,,,,,,,,
27942,7464108124,'00000000','00111111',183,22,1656,1,24,2,10,14915,1,6280363073,,,33,True,2023-11-29 13:16:52,'0000011000000000','0000011110111111',,939868220.0,,,53,8.0,490.0,12471.0,,,http://replay183.valve.net/570/7464108124_939868220.dem.bz2,9225431.0,8831040.0,2023,,,,,,,,,
20488,7305669534,'00111111','00000000',152,26,3756,1,447,2,10,15694,1,6147609923,0.0,0.0,27,False,2023-08-27 08:16:49,'0000011110100110','0000000000000000',21.0,474624038.0,802952.0,1.0,53,5.0,,,3.0,17397.0,http://replay152.valve.net/570/7305669534_474624038.dem.bz2,8668460.0,8261554.0,2023,,,,,,,,,
29507,7507954141,'00111100','00111111',272,22,1891,1,1,2,10,15716,1,6319351545,,,27,True,2023-12-27 04:38:51,'0000011111110000','0000011100110110',21.0,1450601729.0,,,54,3.0,2266.0,3474.0,,,http://replay272.valve.net/570/7507954141_1450601729.dem.bz2,2443375.0,8629327.0,2023,90.0,5.0,1.8932281891151355e+18,1.0,2.050873742320253e+18,1.0,376005174.0,181339278.0,
5956,7621528938,'00111111','00111111',152,49,2181,1,7,2,10,16248,1,6414893500,,,14,False,2024-03-05 04:04:13,'0000011110110110','0000011100100100',21.0,680506705.0,855999.0,1.0,54,5.0,,,0.0,32092.0,http://replay152.valve.net/570/7621528938_680506705.dem.bz2,9156114.0,9264152.0,2024,90.0,4.0,5.967903001149279e+18,1.0,2.0351159755069647e+18,0.0,155447692.0,425280496.0,
17666,7253677147,'00110011','00111111',183,46,2501,1,87,2,10,15537,1,6100766901,0.0,0.0,42,True,2023-07-23 12:33:32,'0000000110000110','0000011100110110',21.0,178663380.0,794256.0,0.0,52,8.0,7054.0,7135.0,,,http://replay183.valve.net/570/7253677147_178663380.dem.bz2,,,2023,,,,,,,,,
3780,6464182246,'00111111','00000000',121,32,2019,1,291,2,10,13940,1,5402055803,0.0,0.0,7,False,2022-03-06 23:08:57,'0000011110111110','0000000000000000',21.0,498283408.0,648561.0,1.0,50,2.0,,,-100.0,22538.0,http://replay121.valve.net/570/6464182246_498283408.dem.bz2,,,2022,,,,,,,,,
7403,7077990510,'00111011','00111111',272,12,1412,1,153,2,10,14659,1,5944046081,0.0,0.0,35,True,2023-03-26 05:57:35,'0000011110000100','0000011110111111',21.0,215960486.0,764122.0,1.0,51,3.0,807.0,9968.0,,,http://replay272.valve.net/570/7077990510_215960486.dem.bz2,,,2023,,,,,,,,,
