no,time,type,slot,key,player_slot,value,killer,team,unit,match_id,leagueid,data_year
96275,263.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5320591798,11382,2020
22712,1347.0,building_kill,0.0,npc_dota_badguys_tower2_bot,0.0,,,,npc_dota_hero_drow_ranger,5221275338,11602,2020
31942,1573.0,building_kill,9.0,npc_dota_goodguys_range_rax_mid,132.0,,,,npc_dota_hero_beastmaster,5231475225,11629,2020
87283,949.0,building_kill,8.0,npc_dota_goodguys_tower2_bot,131.0,,,,npc_dota_hero_invoker,5306577316,11591,2020
13342,1434.0,building_kill,2.0,npc_dota_badguys_tower3_mid,2.0,,,,npc_dota_hero_beastmaster,5201981845,11517,2020
91812,3413.0,building_kill,6.0,npc_dota_goodguys_tower4,129.0,,,,npc_dota_hero_death_prophet,5312493939,11806,2020
84358,1259.0,building_kill,9.0,npc_dota_goodguys_tower1_mid,132.0,,,,npc_dota_hero_kunkka,5300777235,11668,2020
93377,1233.0,CHAT_MESSAGE_AEGIS,6.0,,129.0,,,,,5315048259,11700,2020
99636,2311.0,building_kill,7.0,npc_dota_goodguys_tower4,130.0,,,,npc_dota_hero_ember_spirit,5326114093,11683,2020
81536,4.0,CHAT_MESSAGE_FIRSTBLOOD,6.0,0,129.0,,,,,5295207783,11668,2020
42728,2248.0,building_kill,7.0,npc_dota_goodguys_melee_rax_top,130.0,,,,npc_dota_hero_abyssal_underlord,5240399581,11629,2020
71273,1444.0,building_kill,2.0,npc_dota_badguys_tower2_top,2.0,,,,npc_dota_hero_juggernaut,5281114426,11263,2020
54304,1686.0,building_kill,3.0,npc_dota_badguys_range_rax_top,3.0,,,,npc_dota_hero_storm_spirit,5256968799,11668,2020
91355,2232.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5311679901,11700,2020
1249,1846.0,building_kill,7.0,npc_dota_goodguys_melee_rax_mid,130.0,,,,npc_dota_hero_beastmaster,5181520568,11468,2020
58497,1136.0,CHAT_MESSAGE_AEGIS_STOLEN,2.0,,2.0,,,,,5263304511,11533,2020
22096,1949.0,building_kill,5.0,npc_dota_goodguys_melee_rax_mid,128.0,,,,npc_dota_hero_morphling,5220595286,10884,2020
32906,2410.0,building_kill,5.0,npc_dota_goodguys_tower4,128.0,,,,npc_dota_hero_life_stealer,5231748872,11629,2020
47040,1138.0,building_kill,8.0,npc_dota_goodguys_melee_rax_mid,131.0,,,,npc_dota_hero_leshrac,5246401449,11468,2020
91207,1485.0,building_kill,9.0,npc_dota_goodguys_tower2_top,132.0,,,,npc_dota_hero_skeleton_king,5311301024,11773,2020
44077,1024.0,building_kill,4.0,npc_dota_badguys_tower1_mid,4.0,,,,npc_dota_hero_kunkka,5241733866,11661,2020
31048,1670.0,building_kill,,npc_dota_goodguys_melee_rax_top,,,,,npc_dota_badguys_siege,5231315893,11629,2020
24191,1659.0,CHAT_MESSAGE_AEGIS,6.0,,129.0,,,,,5223281682,11623,2020
11968,738.0,building_kill,7.0,npc_dota_goodguys_tower1_mid,130.0,,,,npc_dota_hero_clinkz,5199517989,11620,2020
10443,1687.0,building_kill,5.0,npc_dota_goodguys_tower2_mid,128.0,,,,npc_dota_hero_abaddon,5197415515,11263,2020
41072,556.0,building_kill,0.0,npc_dota_badguys_tower1_bot,0.0,,,,npc_dota_hero_beastmaster,5238303178,11661,2020
75565,42.0,CHAT_MESSAGE_FIRSTBLOOD,6.0,4,129.0,,,,,5286974327,11719,2020
30537,1128.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_slark,5231228897,11629,2020
85719,675.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_creep_badguys_melee,5303197749,11773,2020
60710,944.0,building_kill,0.0,npc_dota_badguys_tower1_top,0.0,,,,npc_dota_hero_faceless_void,5266542622,11533,2020
22545,2153.0,building_kill,5.0,npc_dota_goodguys_tower3_bot,128.0,,,,npc_dota_hero_centaur,5220945849,11591,2020
12829,350.0,CHAT_MESSAGE_COURIER_LOST,,,,,,7.0,,5201253734,11382,2020
32106,1544.0,building_kill,,npc_dota_badguys_tower1_mid,,,,,npc_dota_creep_goodguys_melee,5231540655,10884,2020
40830,1847.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,5237953538,11636,2020
67926,1044.0,building_kill,6.0,npc_dota_goodguys_tower1_mid,129.0,,,,npc_dota_hero_gyrocopter,5276329539,11382,2020
6602,78.0,CHAT_MESSAGE_COURIER_LOST,,,,,,0.0,,5191286625,11490,2020
592,1962.0,building_kill,0.0,npc_dota_badguys_healers,0.0,,,,npc_dota_hero_drow_ranger,5179849225,11370,2020
10415,2085.0,building_kill,5.0,npc_dota_goodguys_tower2_top,128.0,,,,npc_dota_hero_sven,5197378597,11263,2020
66996,2084.0,building_kill,3.0,npc_dota_badguys_melee_rax_bot,3.0,,,,npc_dota_hero_troll_warlord,5275471540,11620,2020
25913,911.0,building_kill,4.0,npc_dota_badguys_tower1_bot,4.0,,,,npc_dota_hero_nevermore,5225405145,11419,2020
85207,614.0,CHAT_MESSAGE_COURIER_LOST,,,,,,2.0,,5302542976,11591,2020
96808,811.0,building_kill,2.0,npc_dota_badguys_tower1_mid,2.0,,,,npc_dota_hero_meepo,5321332518,11478,2020
41561,875.0,building_kill,,npc_dota_badguys_tower1_mid,,,,,npc_dota_creep_goodguys_melee,5239101712,11629,2020
30532,506.0,CHAT_MESSAGE_COURIER_LOST,,,,,,4.0,,5231228897,11629,2020
74902,1872.0,building_kill,6.0,npc_dota_goodguys_tower2_mid,129.0,,,,npc_dota_hero_legion_commander,5286033671,11263,2020
99060,1037.0,building_kill,2.0,npc_dota_badguys_tower2_top,2.0,,,,npc_dota_hero_phantom_lancer,5325071615,11099,2020
67290,2491.0,building_kill,7.0,npc_dota_goodguys_fort,130.0,,,,npc_dota_hero_wisp,5275673264,11382,2020
36354,1361.0,building_kill,,npc_dota_goodguys_fort,,,,,dota_unknown,5234739214,11478,2020
32751,826.0,building_kill,,npc_dota_badguys_tower1_top,,,,,npc_dota_creep_goodguys_ranged,5231722445,11629,2020
15927,1983.0,building_kill,3.0,npc_dota_badguys_melee_rax_top,3.0,,,,npc_dota_hero_drow_ranger,5206908975,11602,2020
40839,1303.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5237982596,11661,2020
26413,1623.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_badguys_siege,5225912322,11591,2020
28215,995.0,CHAT_MESSAGE_COURIER_LOST,,,,,,5.0,,5228991229,11249,2020
8354,2185.0,building_kill,,npc_dota_badguys_tower1_bot,,,,,npc_dota_goodguys_siege,5194234805,11478,2020
56603,1107.0,CHAT_MESSAGE_COURIER_LOST,,,,,,-1.0,,5260352159,11688,2020
75686,1388.0,CHAT_MESSAGE_COURIER_LOST,,,,,,7.0,,5287081573,11623,2020
54614,2409.0,building_kill,2.0,npc_dota_badguys_melee_rax_top,2.0,,,,npc_dota_hero_razor,5257377714,10946,2020
20321,1936.0,CHAT_MESSAGE_COURIER_LOST,,,,,,9.0,,5216094767,11263,2020
78323,1430.0,building_kill,5.0,npc_dota_goodguys_tower3_bot,128.0,,,,npc_dota_hero_morphling,5290548700,11736,2020
99860,1303.0,building_kill,6.0,npc_dota_goodguys_tower1_mid,129.0,,,,npc_dota_hero_slark,5326816245,11382,2020
15014,1883.0,building_kill,5.0,npc_dota_goodguys_tower3_top,128.0,,,,npc_dota_hero_lycan,5204041543,11382,2020
78404,2449.0,building_kill,5.0,npc_dota_goodguys_tower3_mid,128.0,,,,npc_dota_hero_chaos_knight,5290904980,10884,2020
3328,172.0,CHAT_MESSAGE_COURIER_LOST,,,,,,4.0,,5185725330,11533,2020
12606,438.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5200761260,11620,2020
99982,1697.0,CHAT_MESSAGE_AEGIS,6.0,,129.0,,,,,5326879085,11807,2020
64874,2115.0,building_kill,,npc_dota_goodguys_fort,,,,,dota_unknown,5272110038,11263,2020
64961,2069.0,building_kill,9.0,npc_dota_goodguys_tower3_top,132.0,,,,npc_dota_hero_antimage,5272223462,11263,2020
81419,2282.0,building_kill,6.0,npc_dota_goodguys_range_rax_bot,129.0,,,,npc_dota_hero_morphling,5295112587,11448,2020
8146,1425.0,building_kill,,npc_dota_goodguys_tower2_mid,,,,,npc_dota_creep_badguys_melee,5194082724,11155,2020
91711,894.0,CHAT_MESSAGE_COURIER_LOST,,,,,,0.0,,5312454796,10884,2020
23986,1313.0,building_kill,6.0,npc_dota_goodguys_tower3_top,129.0,,,,npc_dota_hero_templar_assassin,5223178052,11382,2020
55337,3006.0,building_kill,9.0,npc_dota_goodguys_tower4,132.0,,,,npc_dota_hero_phantom_assassin,5258454892,11533,2020
90328,1826.0,building_kill,7.0,npc_dota_goodguys_tower3_mid,130.0,,,,npc_dota_hero_shadow_shaman,5310511466,11668,2020
89887,1652.0,building_kill,1.0,npc_dota_badguys_tower3_mid,1.0,,,,npc_dota_hero_naga_siren,5309768897,11439,2020
7790,1472.0,CHAT_MESSAGE_AEGIS,5.0,,128.0,,,,,5193447132,11490,2020
77869,1145.0,building_kill,,npc_dota_goodguys_tower1_bot,,,,,npc_dota_creep_badguys_melee,5289795692,11249,2020
39729,219.0,CHAT_MESSAGE_COURIER_LOST,,,,,,8.0,,5236676730,11661,2020
54795,1918.0,building_kill,7.0,npc_dota_goodguys_tower2_bot,130.0,,,,npc_dota_hero_morphling,5257722179,10946,2020
69724,2227.0,CHAT_MESSAGE_AEGIS,3.0,,3.0,,,,,5278358408,10477,2020
52403,2037.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_viper,5253796573,11668,2020
61875,763.0,building_kill,9.0,npc_dota_goodguys_tower1_bot,132.0,,,,npc_dota_hero_monkey_king,5268019187,11694,2020
94012,1677.0,building_kill,5.0,npc_dota_goodguys_range_rax_bot,128.0,,,,npc_dota_hero_luna,5316385542,11668,2020
9568,2350.0,building_kill,7.0,npc_dota_goodguys_melee_rax_bot,130.0,,,,npc_dota_hero_tiny,5195740614,11600,2020
96370,106.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5320790240,11382,2020
23371,1535.0,building_kill,1.0,npc_dota_badguys_tower2_top,1.0,,,,npc_dota_hero_faceless_void,5222482384,11591,2020
50302,2236.0,building_kill,,npc_dota_badguys_tower2_bot,,,,,npc_dota_goodguys_siege,5251504544,11688,2020
884,205.0,CHAT_MESSAGE_FIRSTBLOOD,3.0,6,3.0,,,,,5181072285,11249,2020
22049,2314.0,building_kill,0.0,npc_dota_badguys_tower4,0.0,,,,npc_dota_hero_morphling,5220548767,10884,2020
18312,862.0,building_kill,0.0,npc_dota_badguys_tower1_mid,0.0,,,,npc_dota_hero_arc_warden,5212394371,10884,2020
99448,666.0,building_kill,6.0,npc_dota_goodguys_tower2_mid,129.0,,,,npc_dota_hero_furion,5325531181,11263,2020
52692,1923.0,building_kill,,npc_dota_badguys_tower3_bot,,,,,npc_dota_creep_goodguys_melee,5254478905,10884,2020
95115,1698.0,CHAT_MESSAGE_COURIER_LOST,,,,,,7.0,,5318326524,10884,2020
77210,877.0,building_kill,,npc_dota_goodguys_tower1_bot,,,,,npc_dota_creep_badguys_ranged,5289184204,10884,2020
82086,1665.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_templar_assassin,5296055486,11468,2020
