no,is_pick,hero_id,team,order,ord,match_id,leagueid,data_year
96275,False,129.0,0.0,0.0,0.0,5313245238,11249,2020
22712,False,100.0,0.0,4.0,4.0,5220969322,11382,2020
31942,False,59.0,1.0,2.0,2.0,5231348137,11629,2020
87283,False,69.0,1.0,2.0,2.0,5300717694,11668,2020
13342,False,23.0,0.0,19.0,19.0,5201956799,11517,2020
91812,False,98.0,0.0,12.0,12.0,5307792344,11439,2020
84358,False,93.0,0.0,13.0,13.0,5295191373,11591,2020
93377,True,32.0,0.0,16.0,16.0,5309425700,11694,2020
99636,False,18.0,0.0,18.0,18.0,5318850700,11823,2020
81536,True,66.0,1.0,6.0,6.0,5291383024,11731,2020
42728,False,19.0,1.0,10.0,10.0,5239092204,11629,2020
71273,True,45.0,0.0,20.0,20.0,5277404075,11620,2020
54304,False,98.0,1.0,3.0,3.0,5254613326,11620,2020
91355,True,76.0,0.0,17.0,17.0,5307329606,11478,2020
1249,True,12.0,1.0,20.0,20.0,5181426092,11370,2020
58497,False,7.0,0.0,19.0,19.0,5260449940,11249,2020
22096,False,56.0,0.0,0.0,0.0,5220397444,10884,2020
32906,True,112.0,0.0,21.0,21.0,5231484597,11629,2020
47040,False,87.0,1.0,0.0,0.0,5243286197,11661,2020
91207,False,87.0,1.0,1.0,1.0,5307312617,11478,2020
44077,True,15.0,0.0,17.0,17.0,5240489229,11661,2020
31048,False,59.0,0.0,10.0,10.0,5231230613,11629,2020
24191,True,104.0,0.0,9.0,9.0,5223179555,10884,2020
11968,True,11.0,0.0,9.0,9.0,5199303117,11592,2020
10443,False,112.0,0.0,2.0,2.0,5196911516,11592,2020
41072,True,13.0,0.0,14.0,14.0,5236686331,11661,2020
75565,True,4.0,0.0,16.0,16.0,5284366865,11263,2020
30537,False,83.0,1.0,5.0,5.0,5231218395,11629,2020
85719,False,59.0,0.0,11.0,11.0,5297404365,11613,2020
60710,False,65.0,1.0,10.0,10.0,5263691179,11263,2020
22545,True,97.0,1.0,9.0,9.0,5220829001,11263,2020
12829,False,5.0,0.0,12.0,12.0,5201064988,11382,2020
32106,False,80.0,1.0,12.0,12.0,5231390825,11629,2020
40830,True,28.0,0.0,14.0,14.0,5236584725,11636,2020
67926,False,68.0,0.0,13.0,13.0,5273729523,11533,2020
6602,True,22.0,0.0,8.0,8.0,5190969494,11155,2020
592,False,27.0,1.0,0.0,0.0,5179767994,11249,2020
10415,False,22.0,1.0,18.0,18.0,5196844269,11592,2020
66996,True,87.0,0.0,7.0,7.0,5272271530,11533,2020
25913,True,56.0,0.0,15.0,15.0,5224661606,11382,2020
85207,False,66.0,0.0,5.0,5.0,5296939984,11448,2020
96808,False,68.0,1.0,5.0,5.0,5314336951,11806,2020
41561,False,10.0,1.0,19.0,19.0,5236957404,11661,2020
30532,False,128.0,0.0,0.0,0.0,5231218395,11629,2020
74902,False,76.0,0.0,13.0,13.0,5282891881,11263,2020
99060,False,12.0,0.0,13.0,13.0,5317988218,10884,2020
67290,True,87.0,0.0,15.0,15.0,5272662675,11719,2020
36354,False,126.0,1.0,2.0,2.0,5233805874,11661,2020
32751,True,47.0,0.0,20.0,20.0,5231458188,11629,2020
15927,True,20.0,0.0,8.0,8.0,5206719625,11263,2020
40839,False,58.0,1.0,1.0,1.0,5236588068,11661,2020
26413,True,12.0,1.0,17.0,17.0,5225689535,11591,2020
28215,False,69.0,1.0,1.0,1.0,5228621585,11419,2020
8354,False,83.0,1.0,1.0,1.0,5194006265,11249,2020
56603,True,103.0,1.0,15.0,15.0,5258125016,11419,2020
75686,False,98.0,0.0,5.0,5.0,5284461119,11263,2020
54614,False,66.0,1.0,5.0,5.0,5254853840,11620,2020
20321,False,126.0,0.0,3.0,3.0,5215892022,11604,2020
78323,True,13.0,1.0,15.0,15.0,5287199969,11683,2020
99860,False,96.0,1.0,0.0,0.0,5319183859,11823,2020
15014,False,113.0,0.0,19.0,19.0,5203969417,11382,2020
78404,True,51.0,1.0,8.0,8.0,5287252102,11623,2020
3328,False,93.0,1.0,10.0,10.0,5185617947,11533,2020
12606,True,5.0,0.0,9.0,9.0,5200410864,11382,2020
99982,False,43.0,1.0,12.0,12.0,5319336325,11623,2020
64874,True,45.0,0.0,17.0,17.0,5269325734,11478,2020
64961,True,93.0,1.0,16.0,16.0,5269334511,11478,2020
81419,True,52.0,1.0,21.0,21.0,5291271927,11591,2020
8146,False,102.0,1.0,12.0,12.0,5193631357,11249,2020
91711,True,82.0,0.0,21.0,21.0,5307699286,11249,2020
23986,False,111.0,0.0,2.0,2.0,5223069884,11478,2020
55337,False,58.0,0.0,2.0,2.0,5256456649,11688,2020
90328,False,77.0,1.0,2.0,2.0,5305849844,10884,2020
89887,False,98.0,0.0,0.0,0.0,5305124344,11736,2020
7790,True,66.0,0.0,8.0,8.0,5192871847,11490,2020
77869,False,10.0,0.0,11.0,11.0,5286710266,11623,2020
39729,False,46.0,0.0,13.0,13.0,5235682504,11661,2020
54795,False,98.0,1.0,10.0,10.0,5255054837,11668,2020
69724,True,75.0,1.0,21.0,21.0,5275846130,11620,2020
52403,True,87.0,1.0,16.0,16.0,5252177338,10946,2020
61875,True,27.0,1.0,9.0,9.0,5265200228,11263,2020
94012,False,13.0,0.0,3.0,3.0,5310429197,10884,2020
9568,True,31.0,0.0,6.0,6.0,5195520492,10857,2020
96370,False,41.0,1.0,7.0,7.0,5313432399,11249,2020
23371,False,128.0,0.0,3.0,3.0,5222265569,11604,2020
50302,True,13.0,0.0,8.0,8.0,5249862877,11249,2020
884,True,13.0,0.0,6.0,6.0,5180385436,11155,2020
22049,False,47.0,0.0,19.0,19.0,5220297697,10884,2020
18312,True,6.0,1.0,17.0,17.0,5212357183,10884,2020
99448,False,120.0,0.0,6.0,6.0,5318627339,11806,2020
52692,False,95.0,1.0,19.0,19.0,5252697286,11604,2020
95115,False,65.0,0.0,6.0,6.0,5311395136,11700,2020
77210,False,25.0,1.0,12.0,12.0,5285930554,11741,2020
82086,True,92.0,1.0,7.0,7.0,5292132804,10884,2020
2562,True,20.0,0.0,14.0,14.0,5184234170,11533,2020
92786,False,104.0,1.0,18.0,18.0,5308858974,11806,2020
47720,False,93.0,0.0,0.0,0.0,5244478985,11468,2020
90575,False,104.0,0.0,7.0,7.0,5306546058,11668,2020
63803,False,13.0,0.0,2.0,2.0,5268023331,10884,2020
51926,False,91.0,1.0,0.0,0.0,5251672717,11688,2020
12809,True,68.0,0.0,14.0,14.0,5200902969,11620,2020
9970,False,23.0,1.0,13.0,13.0,5196212178,11249,2020
95947,False,84.0,1.0,2.0,2.0,5312720064,11668,2020
55260,False,19.0,0.0,13.0,13.0,5256021117,10946,2020
34733,False,19.0,1.0,2.0,2.0,5232019340,11591,2020
24079,True,100.0,1.0,7.0,7.0,5223090450,11382,2020
36164,False,88.0,0.0,4.0,4.0,5233470713,11629,2020
40483,False,61.0,1.0,19.0,19.0,5236347314,11661,2020
43515,False,128.0,1.0,5.0,5.0,5239776569,11661,2020
69265,False,23.0,1.0,12.0,12.0,5275606140,11263,2020
70103,True,59.0,1.0,4.0,4.0,5276489725,11694,2020
49650,True,96.0,0.0,16.0,16.0,5248676993,11657,2020
45579,False,57.0,0.0,2.0,2.0,5241825230,11661,2020
69293,False,28.0,0.0,18.0,18.0,5275614040,11657,2020
15020,False,19.0,1.0,3.0,3.0,5204001075,11382,2020
77510,False,3.0,0.0,4.0,4.0,5286235765,11620,2020
31024,True,99.0,1.0,8.0,8.0,5231229874,11629,2020
96099,False,96.0,0.0,0.0,0.0,5313056469,11806,2020
