no,minute,exp,match_id,leagueid,data_year
96275,23,11626.0,5263500376,11263,2020
22712,9,-2341.0,5202077493,11517,2020
31942,9,919.0,5213311976,11263,2020
87283,15,7871.0,5254796003,11620,2020
13342,41,-9631.0,5193447132,11490,2020
91812,31,-9901.0,5259223056,11700,2020
84358,32,7843.0,5252730579,11604,2020
93377,43,24948.0,5260617301,11668,2020
99636,11,-160.0,5266594129,11533,2020
81536,43,5782.0,5250726293,10946,2020
42728,10,2457.0,5224499148,11591,2020
71273,34,-9618.0,5241027422,11661,2020
54304,14,104.0,5231716783,11629,2020
91355,30,-2910.0,5258763740,11668,2020
1249,5,507.0,5180002881,11155,2020
58497,18,-4906.0,5233947613,11661,2020
22096,7,-742.0,5201776890,11517,2020
32906,23,2025.0,5214094537,11620,2020
47040,32,11229.0,5228732954,11249,2020
91207,2,155.0,5258721190,11620,2020
44077,32,20808.0,5225879947,11249,2020
31048,25,7334.0,5212542757,11517,2020
24191,1,40.0,5203371854,11517,2020
11968,44,3061.0,5191935627,11490,2020
10443,2,-6.0,5190550458,11490,2020
41072,2,22.0,5223502520,10884,2020
75565,10,-171.0,5243905280,11468,2020
30537,8,-606.0,5212274709,10884,2020
85719,13,-2971.0,5253403742,11620,2020
60710,30,18203.0,5234896799,11636,2020
22545,12,2112.0,5201981845,11517,2020
12829,8,1884.0,5192802021,11155,2020
32106,8,-2448.0,5213496691,11382,2020
40830,25,4071.0,5223409988,11478,2020
67926,16,613.0,5238473581,11661,2020
6602,25,4666.0,5186146292,10857,2020
592,12,2823.0,5178725209,11370,2020
10415,22,-184.0,5190478214,11490,2020
66996,30,-12791.0,5237650934,11661,2020
25913,7,-351.0,5205666441,11517,2020
85207,11,1900.0,5253114936,11620,2020
96808,18,-1419.0,5263863810,11688,2020
41561,22,22978.0,5223773398,10884,2020
30532,3,122.0,5212274709,10884,2020
74902,13,-1621.0,5243262414,10884,2020
99060,9,-562.0,5265675626,11382,2020
67290,28,6773.0,5237953538,11636,2020
36354,29,-5813.0,5219739898,11382,2020
32751,22,13524.0,5213895515,11602,2020
15927,29,647.0,5195474619,11600,2020
40839,34,-11358.0,5223409988,11478,2020
26413,25,-23113.0,5206475743,11263,2020
28215,19,5342.0,5208137460,11602,2020
8354,59,-23751.0,5188241841,11533,2020
