no,minute,gold,match_id,leagueid,data_year
96275,23,7351.0,5263500376,11263,2020
22712,9,-3912.0,5202077493,11517,2020
31942,9,2904.0,5213311976,11263,2020
87283,15,8135.0,5254796003,11620,2020
13342,41,-13334.0,5193447132,11490,2020
91812,31,-6101.0,5259223056,11700,2020
84358,32,5112.0,5252730579,11604,2020
93377,43,8203.0,5260617301,11668,2020
99636,11,-929.0,5266594129,11533,2020
81536,43,8193.0,5250726293,10946,2020
42728,10,2406.0,5224499148,11591,2020
71273,34,-9567.0,5241027422,11661,2020
54304,14,660.0,5231716783,11629,2020
91355,30,1937.0,5258763740,11668,2020
1249,5,536.0,5180002881,11155,2020
58497,18,-3418.0,5233947613,11661,2020
22096,7,-750.0,5201776890,11517,2020
32906,23,2190.0,5214094537,11620,2020
47040,32,2453.0,5228732954,11249,2020
91207,2,-320.0,5258721190,11620,2020
44077,32,7623.0,5225879947,11249,2020
31048,25,10287.0,5212542757,11517,2020
24191,1,350.0,5203371854,11517,2020
11968,44,11125.0,5191935627,11490,2020
10443,2,72.0,5190550458,11490,2020
41072,2,272.0,5223502520,10884,2020
75565,10,435.0,5243905280,11468,2020
30537,8,-1038.0,5212274709,10884,2020
85719,13,-1896.0,5253403742,11620,2020
60710,30,18547.0,5234896799,11636,2020
22545,12,3773.0,5201981845,11517,2020
12829,8,2607.0,5192802021,11155,2020
32106,8,-4217.0,5213496691,11382,2020
40830,25,378.0,5223409988,11478,2020
67926,16,-1682.0,5238473581,11661,2020
6602,25,2131.0,5186146292,10857,2020
592,12,2168.0,5178725209,11370,2020
10415,22,1910.0,5190478214,11490,2020
66996,30,-6092.0,5237650934,11661,2020
25913,7,-698.0,5205666441,11517,2020
85207,11,1821.0,5253114936,11620,2020
96808,18,-2891.0,5263863810,11688,2020
41561,22,16144.0,5223773398,10884,2020
30532,3,-102.0,5212274709,10884,2020
74902,13,-456.0,5243262414,10884,2020
99060,9,777.0,5265675626,11382,2020
67290,28,9083.0,5237953538,11636,2020
36354,29,-1188.0,5219739898,11382,2020
32751,22,8514.0,5213895515,11602,2020
15927,29,-4301.0,5195474619,11600,2020
40839,34,-10211.0,5223409988,11478,2020
26413,25,-4868.0,5206475743,11263,2020
28215,19,4025.0,5208137460,11602,2020
8354,59,-19343.0,5188241841,11533,2020
56603,34,-416.0,5232490179,11155,2020
75686,2,-594.0,5244046664,11661,2020
54614,13,-5501.0,5231739729,11629,2020
20321,26,6405.0,5199469204,11592,2020
78323,7,1336.0,5247655718,11668,2020
99860,18,1506.0,5266737365,11263,2020
15014,5,-348.0,5194676025,11490,2020
78404,14,29.0,5247843584,11478,2020
3328,10,760.0,5182894515,11249,2020
12606,43,-4563.0,5192589306,11155,2020
99982,27,-2139.0,5266814129,11263,2020
64874,1,-322.0,5236487688,11661,2020
64961,15,-1068.0,5236508998,11661,2020
81419,37,7385.0,5250713956,10946,2020
8146,32,7271.0,5187772351,11155,2020
91711,12,-1950.0,5259086214,11668,2020
23986,20,4709.0,5203271185,11478,2020
55337,19,18318.0,5231815228,11629,2020
90328,21,4556.0,5258224510,10884,2020
89887,3,312.0,5257551130,11478,2020
7790,7,1885.0,5187280933,11155,2020
77869,19,3644.0,5246920518,11249,2020
39729,23,12515.0,5222899468,11591,2020
54795,17,-9242.0,5231772550,11629,2020
69724,50,4417.0,5240012723,11661,2020
52403,25,-293.0,5231407643,11629,2020
61875,3,-54.0,5235144642,10884,2020
94012,1,-592.0,5261567445,11604,2020
9568,8,-855.0,5189596231,11249,2020
96370,10,555.0,5263579215,11263,2020
23371,6,1889.0,5203072123,11592,2020
50302,24,20592.0,5231164995,11636,2020
884,21,-433.0,5179669340,11249,2020
22049,24,-4809.0,5201758309,11517,2020
18312,28,2368.0,5197982477,11620,2020
99448,30,3395.0,5266510882,11263,2020
52692,24,23.0,5231418295,11629,2020
95115,36,4387.0,5262131845,11688,2020
77210,12,656.0,5246120792,11468,2020
82086,32,25586.0,5251143671,11419,2020
2562,42,-13245.0,5181821192,11155,2020
92786,1,0.0,5260281474,11620,2020
47720,18,-2805.0,5229563994,11636,2020
90575,16,6497.0,5258344369,11688,2020
63803,31,-8350.0,5235902012,11661,2020
51926,42,24486.0,5231328965,11629,2020
12809,30,-3075.0,5192716059,10857,2020
9970,13,-2614.0,5189825996,11155,2020
95947,5,1393.0,5263335177,11263,2020
55260,6,2966.0,5231812696,11629,2020
34733,1,0.0,5216879593,11620,2020
24079,2,343.0,5203350852,11478,2020
36164,23,14611.0,5219545476,10857,2020
40483,19,-9221.0,5223281682,11623,2020
43515,14,2515.0,5225603321,11249,2020
69265,6,427.0,5239596047,11661,2020
70103,6,-4.0,5240372287,11629,2020
49650,22,4616.0,5230791549,11629,2020
45579,25,-1280.0,5227156585,11591,2020
69293,34,639.0,5239596047,11661,2020
15020,11,842.0,5194676025,11490,2020
77510,15,-2733.0,5246681373,10884,2020
31024,1,0.0,5212542757,11517,2020
96099,23,-3376.0,5263396313,11263,2020
77868,18,4164.0,5246920518,11249,2020
49872,17,-619.0,5230827295,11629,2020
46993,21,-874.0,5228709869,11591,2020
62571,13,3767.0,5235283169,11661,2020
19752,37,-6052.0,5199124519,11600,2020
97117,3,-63.0,5264257467,11623,2020
99776,2,418.0,5266697921,11688,2020
89423,2,109.0,5257240522,11478,2020
54677,10,31.0,5231752710,10884,2020
55986,23,-11166.0,5232269193,11629,2020
30814,14,-5208.0,5212412919,11478,2020
41744,30,-12198.0,5223915578,10884,2020
73293,17,-4646.0,5242195793,11661,2020
79096,18,-3114.0,5248596319,11668,2020
60959,35,-9787.0,5234948310,11661,2020
93214,24,-12040.0,5260490592,11620,2020
98051,7,186.0,5264992112,11533,2020
95184,14,-1914.0,5262181119,11620,2020
741,29,1050.0,5179011085,11155,2020
54861,11,2551.0,5231778811,11629,2020
26162,9,-3306.0,5205959928,11592,2020
49742,18,4841.0,5230806607,11629,2020
94848,32,-3733.0,5261990897,11613,2020
48246,23,-16239.0,5230190287,11419,2020
78159,46,6448.0,5247178048,11668,2020
29585,15,479.0,5210446558,11263,2020
94568,7,673.0,5261872967,11688,2020
42896,20,-3059.0,5224661606,11382,2020
66519,22,-11502.0,5236986525,11661,2020
63531,16,-2300.0,5235682504,11661,2020
57371,22,-19461.0,5232995741,11629,2020
46570,9,-2992.0,5228336335,11419,2020
14636,24,6070.0,5194368797,11155,2020
20569,27,107.0,5199632836,11592,2020
42366,28,4984.0,5224282722,11155,2020
66718,7,1605.0,5237240085,11661,2020
699,39,-6582.0,5178892262,11155,2020
98190,13,2049.0,5265047844,11263,2020
60008,2,-320.0,5234713499,11661,2020
33591,19,8950.0,5215225277,11602,2020
54319,29,-6394.0,5231716783,11629,2020
86374,11,-1425.0,5254125391,10946,2020
