no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
6473,7631985263,16405,9175409,MarsBet Team,MarsBet,https://steamusercontent-a.akamaihd.net/ugc/2048629496910525034/D8C98865573A293408B8D257E083D05582DDB09B/,8605863,Entity,Entity,https://steamusercontent-a.akamaihd.net/ugc/2079029969559624942/E3DF187AB0BAC034E1027B99C843FF6BE279BE8A/,2024
394,5775262536,12726,6767209,Inverse,Inverse,https://steamusercontent-a.akamaihd.net/ugc/771735886093198447/BEBB0FFBCBC8F01D2C70FB27B4B8241B648789FE/,8259584,Pallas Gaming,PG,https://steamusercontent-a.akamaihd.net/ugc/1821138881781972344/94BC9F87A9DA1350A366F514365AA270CCAAD800/,2021
9624,6142122522,13456,8126892,Team Cloud,Cloud,https://steamusercontent-a.akamaihd.net/ugc/5094165733006597118/C01F00ED7CC77B438BD5F8D1117E1EAB0702ACF5/,6209804,Antarctic Penguins,AP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/6209804.png,2021
27298,7450875316,14915,9229377,DemiGods,DG,https://steamusercontent-a.akamaihd.net/ugc/2109432346272393261/5D02E4493B1E9373C84054C315FA87BCB54A0C66/,9175367,Business Club,bc,https://steamusercontent-a.akamaihd.net/ugc/2041874097465563602/35B8C3D831CFD2EF5A19512410C18F1B7F9C460A/,2023
13342,5523481267,11249,7852001,Future.club,Future,https://steamusercontent-a.akamaihd.net/ugc/1003682127343971469/DA439DA4A4F28222741AF9F5F7D95572B0D53A6A/,7467638,Team Rockets,,https://steamusercontent-a.akamaihd.net/ugc/764974771702063556/BB17069ED4F65C064E7912C8AAA4EF67EB2F480D/,2020
2010,7549277373,16140,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,9272068,500 Bananas,500B,https://steamusercontent-a.akamaihd.net/ugc/2313224038740336884/13195902EF0486DD305B56EFE79428E1E2E4B8C5/,2024
24373,7390392551,15819,8961813,SHAOLIN,SHN,https://steamusercontent-a.akamaihd.net/ugc/5097543432692536332/C3EA7D411BF1527BD6E77CB50C7BCBFD971F73B9/,8893837,Parallel eSports,PeS,https://steamusercontent-a.akamaihd.net/ugc/1999066441861408614/71D1E68ECD1B5567B1E56F93F8511DB66D829C93/,2023
3575,7569457300,15898,9216247,Team Klee,Klee,https://steamusercontent-a.akamaihd.net/ugc/2097046179637529531/D719D73590F6D8614DC5901F578C8880EF096439/,9081007,Sibe Team,Sibe,https://steamusercontent-a.akamaihd.net/ugc/2319983338495982729/D50CF32AA973D5471907A0BD1CBEBDD56F71AC34/,2024
9834,7688374705,16059,8629327,Sworn Die,Sd,https://steamusercontent-a.akamaihd.net/ugc/1893228189115135367/7B3DB4DB3D54C15F2647A719B02F0584344C7B55/,8629318,Mad Monkeys,Mm,https://steamusercontent-a.akamaihd.net/ugc/2278325040128724260/A10316EBD20ECE720470ED4A5D07B3C6DDDC693A/,2024
21551,7328912558,14915,9087006,Blue lock,lck,https://steamusercontent-a.akamaihd.net/ugc/2050871934178421468/0FB543017BDA604F2266A4F6768F2EBF38DB4603/,9186655,Generation of Miracles,Geom,https://steamusercontent-a.akamaihd.net/ugc/2047504140421991708/2A5B42C481DCF8BC3A8AF59BB40F2587E10541C8/,2023
3996,6470519987,14066,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,8521876,CoreFlix Esport,CoreFlix,https://steamusercontent-a.akamaihd.net/ugc/1858307292270788966/E3C96F7F4A2DCBF480DE4F5A204A578B4F6419C9/,2022
11288,7149341533,15109,9018528,Crew X,CrX,https://steamusercontent-a.akamaihd.net/ugc/2068882429938837131/68A44FC4EE83B8F88C4BEAF8E71F22E55A21409B/,8961813,SHAOLIN,SHN,https://steamusercontent-a.akamaihd.net/ugc/5097543432692536332/C3EA7D411BF1527BD6E77CB50C7BCBFD971F73B9/,2023
15572,6709654128,14471,8168128,UD VESSUWAN,UDV,https://steamusercontent-a.akamaihd.net/ugc/1867311233773898162/D794290E044E716F386EBD09C5BEF85398017FEE/,7653080,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/1772699046724205365/4B26D0595EF6D331640462985C7C6E01E1BA63AD/,2022
1553,7541729722,15901,9088071,EYE Gaming,EYE,https://steamusercontent-a.akamaihd.net/ugc/1880842325021945866/AD594D1C59AB23CF8AFD155209D477A382698B1A/,8831040,Ghost Sheep,GS,https://steamusercontent-a.akamaihd.net/ugc/1812159972016009901/2463CD2FDC05838CACEB66AAE27F597798C40B34/,2024
1249,5227046143,11419,67,paiN Gaming,paiN,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/67.png,7528424,Vira Lata Caramelo,ｃａｘｏｒｏ,https://steamusercontent-a.akamaihd.net/ugc/770607353808609504/7B6921FF9A8598E36FB8137343B5CC89319B7D73/,2020
19765,6869356609,14749,8894264,Cyber Union,Union,https://steamusercontent-a.akamaihd.net/ugc/1868458784792511569/21552F35D47B76ADC97F4C8D9C22495AD9AB4767/,8533778,blood notes,Blood,https://steamusercontent-a.akamaihd.net/ugc/1835774806548363734/1FC22665855AF2026098127929751F33C44D5078/,2022
22096,5748418707,12508,8126892,Team Cloud,Cloud,https://steamusercontent-a.akamaihd.net/ugc/5094165733006597118/C01F00ED7CC77B438BD5F8D1117E1EAB0702ACF5/,8062847,Galaxy Racer Esports,GXR,https://steamusercontent-a.akamaihd.net/ugc/1768194395980957182/F98E05970A8BB8574785B80B004EF148D6F589B7/,2020
10588,6176433914,13442,8497676,SKY,SKY,https://steamusercontent-a.akamaihd.net/ugc/1691650712757062756/4F734AE9550532B76EE3AA04F22B24F7BFD8021F/,8507455,aquilabella,aqb,https://steamusercontent-a.akamaihd.net/ugc/1692777571512944655/03CD5B0BA4CFAA94F92C259FC9FEC9D3E787DD17/,2021
8308,6579031232,14256,5014799,Nemiga Gaming,Nemiga,https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/,8616073,No Sorry,NS,https://steamusercontent-a.akamaihd.net/ugc/2026096911688401555/615A583AB8989FE726873DFC0F275A92DC4F50A5/,2022
1405,7539765540,16011,9297546,MAG.Nirvana,,https://steamusercontent-a.akamaihd.net/ugc/2295211542917449075/14A234FDEBA37ECAABD5AE32374B721B59D9FC49/,8261554,Army Geniuses Mansion ,AGM,https://steamusercontent-a.akamaihd.net/ugc/2036229291620856332/487BA4B704ADCA08C99B4F67E0DF5EF3D2F4DFD1/,2024
5345,6509170996,13916,8685651,HF,HF,,3513702,Rune Eaters Esports,RE,https://steamusercontent-a.akamaihd.net/ugc/1820026607302871156/FF6776BBCA662A3A2D0137DD9973F4EEC79B5CEA/,2022
8730,6112752594,13393,7121518,Unknown Team,Unknown,https://steamusercontent-a.akamaihd.net/ugc/1754690801637716226/9CD4F77CD5A7114A4804E1924E3A946FCD357421/,8375259,Infinity,Infinity,https://steamusercontent-a.akamaihd.net/ugc/2012577143832299242/0B29AFE6D9B224CB4EDB33A07AAC0D3FD19A00A6/,2021
1873,5823528759,12638,8300691,Infinite War,IW,https://steamusercontent-a.akamaihd.net/ugc/1760313888091968400/EBC9367107AFEAFC18572C8975A1E6DDF733B442/,6738815,Cignal Ultra,Cignal,https://steamusercontent-a.akamaihd.net/ugc/1649964989855275176/65E8E2799787201DB9BB4DE498EFC7888E31F2C8/,2021
11968,5485020224,11439,7329260,Dream Team,Dream Team,,6163537,Boys.qom,bq,,2020
10443,5454664461,12069,7408845,Execration,XctN,https://steamusercontent-a.akamaihd.net/ugc/1479947126466883706/805E24B193B5C67C2B505C8808AD7E56DA302273/,7667517,LGD.international,LGD.int,https://steamusercontent-a.akamaihd.net/ugc/999178149171207551/C47157E21C72BFD4A8834D315719C56664D3CCED/,2020
2340,6435656267,13972,8350517,TEAM M11,M11,https://steamusercontent-a.akamaihd.net/ugc/1759191489698829647/D568C2109E30DDF6B892DEC556EAB95221BA8099/,8549812,GAGAK,Gagak,https://steamusercontent-a.akamaihd.net/ugc/1619598614201187351/F32BB2E464E349A6DA3C7EDFC24E4DC356035F6B/,2022
15580,7219938647,15325,9081141,Titanic Guardians:,TG,https://steamusercontent-a.akamaihd.net/ugc/2053122856399696109/27A61988EF13C41796A1A43410F63140615224F9/,9081146,Way of Bushido,WB,https://steamusercontent-a.akamaihd.net/ugc/2053122856399840515/46ECF23FB979B40005CAC042165E0D51D6027E0C/,2023
8219,6095632570,13320,8470261,South Myanmar Players,SMP,https://steamusercontent-a.akamaihd.net/ugc/1684892798656899357/54BD2677EDB9AEBEFE1896E1B20448AB70643AA0/,7653080,Yangon Galacticos,YG,https://steamusercontent-a.akamaihd.net/ugc/1772699046724205365/4B26D0595EF6D331640462985C7C6E01E1BA63AD/,2021
25734,7429860690,15716,8629324,Swift Knights,Sk,https://steamusercontent-a.akamaihd.net/ugc/2017088992310291098/09843295840179839F2FAF5870B9CBAC09E19911/,8629014,Dragon Blood,DB,https://steamusercontent-a.akamaihd.net/ugc/2036224122590251530/1CF2060AE5A404AEF691C3180FF9CB522056149A/,2023
725,6966231679,14948,8944582,Lilgun,lg,https://steamusercontent-a.akamaihd.net/ugc/2031719436235354148/316D93ECBF4805E1EF70E43D4F15B0DD08C9E0C8/,2640025,iG.Vitality,iG.V,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2640025.png,2023
227,5775158484,12726,7355202,0-900,Ceros&99,https://steamusercontent-a.akamaihd.net/ugc/1704034601417286784/36BCC7B8CD0F264624D0D51541B0A17EE75185C8/,-1,<UNKNOWN>,<UNKNOWN>,<UNKNOWN>,2021
12829,5508582364,12214,8058271,WarFreakZ,WF,,8058252,Grave Keepers,GK,https://steamusercontent-a.akamaihd.net/ugc/1324571995459690333/F3BA03D358F51FC83338AB4560D58E5B77A9208E/,2020
